Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
BMF Bovespa,ON,9346601000125,BR,ativo,2161,Bolsa de valores e commodities,Finanças e Seguros,Ação,Bovespa,BVMF3,BRBVMFACNOR3,12,23589922,19241000,2115983,1904684,1047999,Real,1927992,0.53570207935,9.9798132564,1.0816198231,0.560537902,5.7,4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Acoes em Tesouraria,6,"Blackrock, Inc",5.3,Oppenheimer Funds Inc.,5,Cmeg Brazil 1 Participacoes Ltda.,5.1,-,-,-,-,-,-,-,-,-,-,-,-
Bombril,ON,50564053000103,BR,ativo,1219,Indústria de artigos de limpeza,Química,Ação,Bovespa,BOBR3,BRBOBRACNOR6,12,685229,-40546,845814,372181,-18670,Real,54065,-0.34532507167,-0.7499491353,15.64439101,0,-,-,Previ Cx Prev Funcs Bco Brasil,23.8,Newco Internacional Limited,21.0,Bndespar - BNDES Participacoes SA,16.8,Bonsucex Holding Ltda,13.2,Ewz Investments Llc - Socopa Soc.Corret.,10.5,Acoes em Tesouraria,0.0,-,0.0,-,-,-,-,-,-,Newco Internacional Limited,65,Bombril S/A,34.6,-,0,-,0.0,-,0,-,0,-,0.0,-,-,-,-,-,-
BR Brokers,ON,8613550000198,BR,ativo,2118,Atividades relacionadas a imóveis,Outros,Ação,Bovespa,BBRK3,BRBBRKACNOR4,12,923772,694650,407711,392726,106599,Real,191015,0.56512457153,3.6366253959,2.1614415162,0.18102,3.2,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Gulf I de Investimento em Participacoes,9,Fundo Private Equity PDG de Investimento em Participacoes,2.5,Marlei Feliciano,2,Plinio Augusto de Serpa Pinto,2.3,Ricardo Cabral Abreu,2,Aguinaldo Del Giudice,1,Marcelo Silva Pereira,1.2,Acoes em Tesouraria,1,Eduardo Elias Sauma Resk Filho,1,Jorge Afif Cury Filho,0.9
BR Insurance,ON,11721921000160,BR,ativo,2221,Corretora de seguros,Finanças e Seguros,Ação,Bovespa,BRIN3,BRBRINACNOR3,12,604200,446136,145376,145376,106753,Real,90772,1.1912219327,4.9148892713,1.6222034013,0.0349,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Gulf II de Investimento em Participacoes,12,Verona Bib Brokers Participacoes S.A.,6.7,Mfs Investment Management,6,Morgan Stanley Uruguay Ltda,5.2,Acoes em Tesouraria,5,Marcelo de Andrade Casado,2,Samuel Lasry Sitnoveter,2.1,Roberto Ali Abdalla,2,Jasmin Coelho da Fonseca Franchini,1,Antonio Jose Lemos Ramos,1.1
BR Malls Par,ON,6977745000191,BR,ativo,1990,Locadora de imóveis,Outros,Ação,Bovespa,BRML3,BRBRMLACNOR9,12,14081717,6624448,861475,777331,470915,Real,446565,1.0887964555,14.834230179,1.9918051592,0.16521896199,0.9,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fmr Llc(Fidelity),4,"Dodge & Cox, Inc.",3.5,HSBC Bank Brasil SA,3,Dyl - Empreendimentos e Part. S/A,3.2,Richard Paul Matheson,3,"Ei Brazil Investments III, Llc",2,Carlos Medeiros Silva Neto,0.4,Acoes em Tesouraria,0,-,-,-,-
BR Pharma,ON,11395624000171,BR,ativo,2250,Loja de artigos para saúde e cuidados pessoais,Comércio,Ação,Bovespa,BPHA3,BRBPHAACNOR6,12,1049250,723262,1000665,372307,5469,Real,159699,0.050803644667,4.5289030265,9.2955620937,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BTG Pactual Pharma Participacoes S.A.,20,BTG Pactual Principal Investments FIP,15.1,Alvaro Jose da Silveira,8,Wilson Jose Lopes,7.4,Capital Research & Mngmt Co,5,Infinity Fundo de Investimento em Participacoes,5,Vincitore Fundo de Investimento em Participacoes,4.5,Lajota Fundo de Investimento em Participacoes,5,Administradores e Conselheiros,0,-,-
BR Properties,ON,6977751000149,BR,ativo,1992,Locadora de imóveis,Outros,Ação,Bovespa,BRPR3,BRBRPRACNOR9,12,6439379,3692733,343464,343464,335409,Real,180004,2.1091126084,20.514727451,2.1597639089,0.10827841479,0.6,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Of Singapore Investment Corporation Pte Ltd,6,Schroder Investment Management Limited,5.1,"Private Equity Partners A, Llc - Credit Suisse (BR) Dtvm SA",3,Gpcm Llc,2.1,"Private Equity Partners B, Llc",0,-,-,-,-,-,-,-,-,-,-
Bradesco,ON,60746948000112,BR,ativo,90,Bancos,Finanças e Seguros,Ação,Bovespa,BBDC3,BRBBDCACNOR1,12,722086892,59139046,-,-,10958054,Real,3817841,2.8762099652,15.490180444,-,0.975416697,3.9,3.8,Capital Research & Mngmt Co,5.1,Ncf Participacoes S.A.,1.5,Fundacao Bradesco,1.0,Cidade de Deus Cia Cial de Participacoes,0.1,-,-,-,-,-,-,-,-,-,-,-,-,Cidade de Deus Cia Cial de Participacoes,49,Fundacao Bradesco,17.1,Ncf Participacoes S.A.,8,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Bradesco,ON,60746948000112,BR,ativo,90,Bancos,Finanças e Seguros,"ADR,etc (emp estrang)",NYSE,BBDO,US0594604029,12,722086892,59139046,-,-,10958054,Real,3817841,-,-,-,0,-,-,Capital Research & Mngmt Co,5.1,Ncf Participacoes S.A.,1.5,Fundacao Bradesco,1.0,Cidade de Deus Cia Cial de Participacoes,0.1,-,-,-,-,-,-,-,-,-,-,-,-,Cidade de Deus Cia Cial de Participacoes,49,Fundacao Bradesco,17.1,Ncf Participacoes S.A.,8,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Bradespar,ON,3847461000192,BR,ativo,1872,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,BRAP3,BRBRAPACNOR5,12,10739426,8674653,0,0,2023552,Real,349548,5.7890532917,24.816771945,0,1.545733588,4.4,3.5,"Blackrock, Inc",15.7,Geracao Futuro Corretora de Valores S/A,8.1,"Templeton Asset Management, Ltd",5.1,Ncf Participacoes S.A.,1.0,Nova Cidade de Deus Participacoes S.A.,0.3,Cidade de Deus Cia Cial de Participacoes,0.1,-,0.0,-,-,-,-,-,-,Cidade de Deus Cia Cial de Participacoes,37,Ncf Participacoes S.A.,24.8,Fundacao Bradesco,15,Nova Cidade de Deus Participacoes S.A.,1.4,-,0,-,0,-,0.0,-,-,-,-,-,-
Brasil,ON,191,BR,ativo,102,Bancos,Finanças e Seguros,Ação,Bovespa,BBAS3,BRBBASACNOR3,12,966823068,62549946,-,-,12681922,Real,2865417,4.4330919217,21.829264976,-,1.8859914153,8.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uniao Federal (Tesouro Nacional),52,Previ Cx Prev Funcs Bco Brasil,10.4,Fundo Garantidor A Exportacao,5,Ffie - Fundo Fiscal de Investimentos e Estabilizacao,2.2,Fundo Garantidor Para Investimentos Fgi,0,Bndespar - BNDES Participacoes SA,0,Acoes em Tesouraria,0.0,-,-,-,-,-,-
Brasilagro,ON,7628528000159,BR,ativo,2003,Agricultura,Agro e Pesca,Ação,Bovespa,AGRO3,BRAGROACNOR7,6,735273,586481,82616,20425,16724,Real,58422,0.617417292,10.038632442,2.5020711234,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cresud S.A.C.I.F Y A,25,JP Morgan Whitefriars Inc - Banco Itau S.A,10.8,Helmir S.A.,10,Credit Suisse Hedging-Griffo Serv Int S.A.,8.0,Cape Town Llc,5,Elie Horn,1,-,-,-,-,-,-,-,-
Braskem,ON,42150391000170,BR,ativo,482,Indústria química,Química,Ação,Bovespa,BRKM3,BRBRKMACNOR1,12,37354161,9735896,33176160,3858209,-525142,Real,800123,-0.65655565939,12.16799917,41.478296546,0.83324714,7.1,4.7,Odebrecht Servicos e Participacoes SA,22.6,Petrobras Quimica S/A Petroquisa,20.8,Bndespar - BNDES Participacoes SA,12.7,Acoes em Tesouraria,0.8,Odebrecht S.A.,0.0,-,0.0,-,-,-,-,-,-,-,-,Brk Investimentos Petroquimicos S.A,93,Petrobras Quimica S/A Petroquisa,0.8,Acoes em Tesouraria,0,-,0.0,-,0,-,0,-,-,-,-,-,-,-,-
Brasmotor,ON,61084984000120,BR,ativo,197,Indústria de eletrodomésticos,Eletroeletrônicos,Ação,Bovespa,BMTO3,BRBMTOACNOR9,12,792529,785056,0,0,164594,Real,2864444,0.057461063997,0.27406924346,0,0.03565,5.2,3.8,Whirlpool do Brasil Ltda,89.8,Whirlpool Canada Holding Co.,3.4,Whirlpool Ind e Com Ltda,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Whirlpool do Brasil Ltda,55,Whirlpool Canada Holding Co.,39.4,Whirlpool Ind e Com Ltda,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BRB Banco,ON,208000100,BR,ativo,1420,Bancos,Finanças e Seguros,Ação,Bovespa,BSLI3,BRBSLIACNOR5,12,8711346,822873,-,-,116176,Real,36305,3.2,22.665555709,-,1.134585477,4.2,3.8,Governo do Distrito Federal,96.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Distrito Federal,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BRF Foods,ON,1838723000127,BR,ativo,1629,Abatedouros,Alimentos e Beb,"ADR,etc (emp estrang)",NYSE,BRFS,US10552T1079,12,29983456,14070340,25706238,6659275,1367409,Real,869454,-,-,-,0.2102,2.2,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,13,Petros - Fund. Petrobras de Seg. Social,10.2,Tarpon Investimentos S.A.,8,Fundacao Vale do Rio Doce de Seg. Social - Valia,2.9,Fund Tel de Seguro Social/Sistel,1,Fprv1 Sabia Fim Previdenciario,1,Acoes em Tesouraria,0.4,-,-,-,-,-,-
BRF Foods,ON,1838723000127,BR,ativo,1629,Abatedouros,Alimentos e Beb,Ação,Bovespa,BRFS3,BRBRFSACNOR8,12,29983456,14070340,25706238,6659275,1367409,Real,869454,1.5703771475,16.182964449,29.52188314,0.72672326,2.0,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,13,Petros - Fund. Petrobras de Seg. Social,10.2,Tarpon Investimentos S.A.,8,Fundacao Vale do Rio Doce de Seg. Social - Valia,2.9,Fund Tel de Seguro Social/Sistel,1,Fprv1 Sabia Fim Previdenciario,1,Acoes em Tesouraria,0.4,-,-,-,-,-,-
Brookfield,ON,7700557000184,BR,ativo,2026,Construção de edifícios residenciais,Construção,Ação,Bovespa,BISA3,BRBISAACNOR8,12,9048749,3017754,3727273,1017460,326831,Real,440058,0.73607487182,6.857625022,8.3944056583,0.24013089,4.9,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Brookfield Brasil Ltda,41,Alliance Bernstein L.P.,5.3,Acoes em Tesouraria,3,Walter Francisco Lafemina,2.2,Marcelo Martins Borba,1,Antonio Fernando de Oliveira Maia,1,Gilberto Bernardo Benevides,1.3,Luiz Rogelio Rodrigues Tolosa,1,Elias Calil Jorge,1,Luiz Angelo de Andrade Zanforlin,0.5
Btgp Banco,ON,30306294000145,BR,ativo,2261,Bancos,Finanças e Seguros,Ação,Bovespa,BPAC3,BRBPACACNOR7,12,82392059,6333278,-,-,1334604,Real,2400000,0.556085,2.6388658333,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Buettner,ON,82981812000120,BR,ativo,203,Indústria de roupas de tecido,Textil,Ação,Bovespa,BUET3,BRBUETACNOR3,12,207645,-40633,47277,-14572,-109257,Real,4810,-22.714553015,-8.4476091476,9.8288981289,0,-,-,Erpa Adm de Bens e Partic Ltda,63.9,Harcus Internacional Corporation,33.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Erpa Adm de Bens e Partic Ltda,65,Harcus Internacional Corporation,33.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cacique,ON,78588415000115,BR,ativo,290,Moinho de grãos,Alimentos e Beb,Ação,Bovespa,CIQU3,BRCIQUACNOR8,12,532590,217177,562670,95596,-9978,Real,24948,-0.39995189995,8.7051867885,22.55371172,0.09911,1.5,1.6,Horacio Sabino Coimbra Com Part Ltd,69.2,Safra National Bank Of New York,11.6,Bayside Ventures Limited,9.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Horacio Sabino Coimbra Com Part Ltd,65,Bayside Ventures Limited,26.8,Safra National Bank Of New York,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Caf Brasilia,ON,25869736000121,BR,ativo,206,Moinho de grãos,Alimentos e Beb,Ação,Bovespa,CAFE3,BRCAFEACNOR2,12,299868,-377387,15465,-1349,242156,Real,2184541,0.11084983069,-0.17275345256,0.0070792903406,0,0.0,-,Tibor Greif,30.3,-,0.0,-,0.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,Rmb Com. Emp. Part. Ltda,29,Cia Sao Joao de Arm. Gerais,28.5,Rosamar Empreendimentos e Part. Ltd,10,Tibor Greif,7.6,Ruy Barreto,2,-,-,-,-,-,-,-,-,-,-
Cambuci,ON,61088894000108,BR,ativo,210,Indústria de calçados,Textil,Ação,Bovespa,CAMB3,BRCAMBACNOR4,12,233865,40314,278773,123104,6559,Real,36960,0.17746212121,1.0907467532,7.5425595238,0,-,-,Tres Marias Incorp e Constr Ltda,63.5,Roberto Estefano,19.8,Eduardo Estefano Filho,16.3,Sueli Vizintas Estefano,0.2,Renato Vizintas Estefano,0.1,Sergio Vizintas Estefano,0.1,Juliana Vizintas Estefano,0.1,-,0,-,-,-,-,Tres Marias Incorp e Constr Ltda,38,Eduardo Estefano Filho,18.8,Roberto Estefano,19,Sueli Vizintas Estefano,11.5,Renato Vizintas Estefano,4,Sergio Vizintas Estefano,4,Juliana Vizintas Estefano,4.5,Acoes em Tesouraria,0,-,-,-,-
Casan,ON,82508433000117,BR,ativo,1686,"Agua, esgoto e outros sistemas",Outros,Ação,Bovespa,CASN3,BRCASNACNOR6,12,2288511,1277898,539155,355748,7904,Real,715094,0.011222854521,1.7870339116,0.76554379172,0,-,-,Estado de Santa Catarina,65.9,Sc Parcerias S/A,18.3,Centrais Eletricas de Santa Catarin,15.8,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,Estado de Santa Catarina,61,Sc Parcerias S/A,18.3,Centrais Eletricas de Santa Catarin,16,Cia de Desenv. do Est. de Sta. Catarina - Codesc,4.6,-,-,-,-,-,-,-,-,-,-,-,-
CC Des Imob,ON,67203208000189,BR,ativo,2048,Construção de edifícios residenciais,Construção,Ação,Bovespa,CCIM3,BRCCIMACNOR5,12,2895118,584781,946933,40060,-192802,Real,112948,-1.7065238436,5.1774216074,8.3814677379,0.2809128,7.0,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Camargo Correa S/A,66,Credit Agricole Asset Management,5.1,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CCR SA,ON,2846056000197,BR,ativo,1882,Atividades auxiliares ao transporte rodoviário,Transporte Serviç,Ação,Bovespa,CCRO3,BRCCROACNOR2,12,12851366,3205366,5134296,2852221,899372,Real,1765587,0.50938973731,1.815467398,2.907982115,0.45457725,3.7,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Andrade Gutierrez Concessoes S.A.,16,Camargo Correa Invest. em Infra Estrutur,15.2,Soares Penido Concessoes S.A.,12,"Soares Penido Obras, Const. e Inv. Ltda.",5.3,VBC Energia SA,2,Agc Participacoes Ltda.,0,Const Andrade Gutierrez S/A,0.3,-,-,-,-,-,-
Ccx Carvao,ON,-,BR,ativo,2018,Mineração de metais,Mineração,Ação,Bovespa,CCXC3,BRCCXCACNOR5,12,136,128,0,0,-110,Real,63777,-0.0060298546574,0.0020069991272,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eike Fuhrken Batista,100,Flavio Godinho,0.0,Claudio Dias Lampert,0,Kevin Michael Altit,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Ceb,ON,70698000111,BR,ativo,1445,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CEBR3,BRCEBRACNOR5,12,2170285,518315,1377619,307897,26190,Real,9183,2.8520087576,56.440068654,150.01838307,0,0.0,0.0,Sec de Est de Faz do Distrito Federal,49.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sec de Est de Faz do Distrito Federal,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cedro,ON,17245234000100,BR,ativo,307,Tecelagens,Textil,Ação,Bovespa,CEDO3,BRCEDOACNOR8,12,640145,289520,527276,117768,12780,Real,10000,1.2780000174,28952,52.727600718,0.77690590986,8.0,6.0,Encopar-Emp. Nac. Com. Cred. e Part,42.9,Maria Jose Baptista de Magalhaes,3.2,Fernando Bicalho Dias,2.4,Silvio Diniz Ferreira,2.3,Fabiano Soares Nogueira,1.5,Angela Cancado Lara Resende,1.2,Victor Mascarenhas Freitas Borges,0.5,Paula Mascarenhas de Freitas Borges,1,Luciana Freitas Borges Miranda,0.5,Amelia Gonzaga Carvalho Silva,0.4,Encopar-Emp. Nac. Com. Cred. e Part,19,Paula Mascarenhas de Freitas Borges,3.8,Victor Mascarenhas Freitas Borges,4,Luciana Freitas Borges Miranda,3.6,Fernando Bicalho Dias,4,Silvio Diniz Ferreira,3,Angela Cancado Lara Resende,2.9,Lucia Mattos Magalhaes Mascarenhas,3,Fabiano Soares Nogueira,3,Maria Salome Pinto Gonzaga,2.0
Ceee-D,ON,8467115000100,BR,ativo,2064,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,CEED3,BRCEEDACNOR9,12,3829171,1225918,2028501,285781,-202892,Real,387230,-0.52395757075,3.1658666543,5.2384936627,0,0.0,0.0,Eletrobras - Centrais Eletricas Brasileiras S.A.,53.4,Cia Est de En Eletrica Part.,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cia Est de En Eletrica Part.,67,Eletrobras - Centrais Eletricas Brasileiras S.A.,32.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ceee-Gt,ON,92715812000131,BR,ativo,320,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EEEL3,BREEELACNOR8,12,3762340,2168734,762484,347099,88173,Real,387230,0.22770198374,5.6006377691,1.9690735188,0,0.0,0.0,Eletrobras - Centrais Eletricas Brasileiras S.A.,53.4,Cia Est de En Eletrica Part.,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cia Est de En Eletrica Part.,67,Eletrobras - Centrais Eletricas Brasileiras S.A.,32.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ceg,ON,33938119000169,BR,ativo,1661,Distribuição de gas natural,Petróleo e Gas,Ação,Bovespa,CEGR3,BRCEGRACNOR4,12,1928016,867918,2304053,780371,251667,Real,51927546,0.0048465028561,0.016714019184,0.044370535053,0.0016836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gas Natural International,35,Gas Natural Sdg S.A.,18.9,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Celesc,ON,83878892000155,BR,ativo,246,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CLSC3,BRCLSCACNOR6,12,5365230,2174531,4191414,927952,323887,Real,38571,8.3971636722,56.377356045,108.6674963,1.90669172,2.4,-,Tarpon Investimentos S.A.,23.3,Eletrobras - Centrais Eletricas Brasileiras S.A.,18.0,Geracao Futuro Corretora de Valores S/A,17.0,Mcap Poland Fundo de Investimento em Acoes,13.7,Previ Cx Prev Funcs Bco Brasil,1.9,Fundacao Celesc Seguridade Social-C,1.0,Sec de Est da Faz de Santa Catarina,0.0,-,-,-,-,-,-,Sec de Est da Faz de Santa Catarina,50,Previ Cx Prev Funcs Bco Brasil,33.1,Fundacao Celesc Seguridade Social-C,6,Geracao Futuro Corretora de Valores S/A,3.9,Eletrobras - Centrais Eletricas Brasileiras S.A.,0,-,0,-,0.0,-,-,-,-,-,-
Celgpar,ON,8560444000193,BR,ativo,2139,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,GPAR3,BRGPARACNOR4,12,4918542,-1293946,2211465,218598,-662286,Real,32774,-20.207664612,-39.480868982,67.476200647,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Estado de Goias,100,Acoes em Tesouraria,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Celpa,ON,4895728000180,BR,ativo,1830,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CELP3,BRCELPACNOR8,12,4358111,500497,2433800,401221,-391162,Real,63851,-6.1261687366,7.838514667,38.116865828,0,-,-,Eletrobras - Centrais Eletricas Brasileiras S.A.,26.9,Rede Energia S.A.,8.8,Qmra - Participacoes S/A,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Qmra - Participacoes S/A,55,Eletrobras - Centrais Eletricas Brasileiras S.A.,34.8,Rede Energia S.A.,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Celpe,ON,10835932000108,BR,ativo,1436,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CEPE3,BRCEPEACNOR3,12,4057518,1607294,2914133,728779,283416,Real,74612,3.7985310674,21.542030773,39.057162387,2.8316578398,-,-,Opportunity Logica Master FIA,21.6,Eletrobras - Centrais Eletricas Brasileiras S.A.,13.8,M368 Fundo de Investimento Multimercado,13.5,Neoenergia S/A,10.4,International Markets Investments C,9.4,Opp I Fundo de Investimento em Acoes,8.2,Elton Ughini,2.4,Parcom Participacoes S A,2,Empresa de Urbanizacao do Recife,0.8,Rosangela Maria Costi Ughini,0.5,Neoenergia S/A,100,Eletrobras - Centrais Eletricas Brasileiras S.A.,0.0,M368 Fundo de Investimento Multimercado,0,-,0.0,-,0,-,0,-,0.0,-,0,-,0,-,0.0
Celul Irani,ON,92791243000103,BR,ativo,242,"Indústria de papel , celulose e papelão",Papel e Celulose,Ação,Bovespa,RANI3,BRRANIACNOR5,12,1181754,464230,481513,142447,9354,Real,8023,0.058049849069,2.8931197806,2.9882143441,0.091118261472,9.6,6.7,Irani Participacoes S/A,32.7,Habitasul Desenvolvimentos Imobiliarios,15.6,Walter Essinger Carneiro,9.4,Cia Habitasul de Participacoes,9.3,Companhia Comercial de Imoveis,9.2,Acoes em Tesouraria,0.2,-,-,-,-,-,-,-,-,Irani Participacoes S/A,54,Habitasul Desenvolvimentos Imobiliarios,17.0,Cia Habitasul de Participacoes,13,Companhia Comercial de Imoveis,5.4,Acoes em Tesouraria,0,Walter Essinger Carneiro,0,-,-,-,-,-,-,-,-
Cemar,ON,6272793000184,BR,ativo,1660,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ENMA3B,BRENMAACNOR5,12,2987467,964137,1912105,661436,247502,Real,164184,1.5074679331,5.8722993294,11.646115878,1.2181,11.7,13.8,Equatorial Energia S/A,62.0,Eletrobras - Centrais Eletricas Brasileiras S.A.,37.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equatorial Energia S/A,65,Eletrobras - Centrais Eletricas Brasileiras S.A.,33.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cemat,ON,3467321000199,BR,ativo,1460,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CMGR3,BRCMGRACNOR7,12,3547055,1277159,2009768,557859,146884,Real,118853,1.235845961,10.745702674,16.90969517,0.18162169,-,2.8,Eletrobras - Centrais Eletricas Brasileiras S.A.,59.8,Rede Energia S.A.,28.4,Inepar S/A Ind e Construcoes,10.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rede Energia S.A.,62,Inepar S/A Ind e Construcoes,26.3,Eletrobras - Centrais Eletricas Brasileiras S.A.,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
