i,contr?,nome,razão social,cnpj,Receita líquida pela Valor (milhões de reias),Receita líquida pela Economatica (milhões de reias),“Poder” indireto (das empresas em que i tem participação),“Poder” total (receita da empresa i + valor indireto),Indicador,Fonte,Poder direto - controle,Poder direto - parcial,Poder indireto - controle,Poder indireto - parcial,Composição acionária direta,Estatal ou Privada?
1279,"",Centennial Ass Mining Fundo Llc,Centennial Ass Mining Fundo Llc,'',-,-,230.56,230.56,0.00,Economatica associado,"Cent Açu (234.48%)
OSX Brasil (60.60%)
OGX Petroleo (57.52%)","LLX Log (23.81%)
MMX Miner (7.41%)
MPX Energia (3.49%)","","","",
1280,"","Multiplan Plan., Partic. e Adm. S.A","Multiplan Plan., Partic. e Adm. S.A",'',-,-,226.89,226.89,0.00,Economatica associado,"",Multiplan (33.55%),"","","",
1281,"",Paulo Setubal Neto,Paulo Setubal Neto,'',-,-,226.77,226.77,0.00,Economatica associado,"","Itausa (3.78%)
Duratex (1.15%)","","","",
1282,"",Waterford Participacoes S.A.,Waterford Participacoes S.A.,'',-,-,225.30,225.30,0.00,Economatica associado,"",Le Lis Blanc (47.82%),"","","",
1283,"",Ind Cataguas,,'19526748000150',-,224.49,-,224.49,0.00,Economatica,"","","","","Delta-Agropecuaria e Part. Ltda (23.53%)
Celia Peixoto de Barros Lemos (5.85%)
Nelia de Souza Peixoto (5.55%)
Zelia Peixoto F. Leite - Espolio (4.83%)",
1284,"",Olga Maria Barbosa Saraiva,Olga Maria Barbosa Saraiva,'',-,-,222.11,222.11,0.00,Economatica associado,"",Saraiva Livr (11.76%),"","","",
1285,"",Evaux Participacoes S/A,Evaux Participacoes S/A,'',-,-,221.99,221.99,0.00,Economatica associado,"",SLC Agricola (22.07%),"","","",
1286,"","Manneng & Napier Advisors, Inc","Manneng & Napier Advisors, Inc",'',-,-,221.82,221.82,0.00,Economatica associado,"","Anhanguera (5.12%)
All Amer Lat (5.00%)","","","",
1287,"",Sierra Brazil 1 B.V.,Sierra Brazil 1 B.V.,'',-,-,219.19,219.19,0.00,Economatica associado,Sierrabrasil (66.65%),"","","","",
1288,sim,Sierrabrasil,,'05878397000132',-,219.19,-,219.19,0.00,Economatica,"","","","","Sierra Brazil 1 B.V. (66.65%)
BNY Mellon ARX Investimentos Ltda (5.47%)",
1288,"",Lc Eh Part. e Empreendimentos S/A,Lc Eh Part. e Empreendimentos S/A,'',-,-,214.66,214.66,0.00,Economatica associado,"",Totvs (16.78%),"","Totvs => {Datasul (100.00%, final=16.78%)}","",
1289,"",Fmr Llc(Fidelity),Fmr Llc(Fidelity),'',-,-,213.78,213.78,0.00,Economatica associado,"","Qualicorp (10.57%)
BR Malls Par (7.96%)
Anhanguera (5.37%)
BR Insurance (5.24%)","","","",
1290,"","Private Equity Partners C, Llc","Private Equity Partners C, Llc",'',-,-,213.67,213.67,0.00,Economatica associado,"",Estacio Part (18.61%),"","","",
1291,"",Fundo de Educacao Para O Brasil FIP,Fundo de Educacao Para O Brasil FIP,'',-,-,212.71,212.71,0.00,Economatica associado,"",Anhanguera (17.26%),"","","",
1292,"",Erna Anna Schulz,Erna Anna Schulz,'',-,-,212.20,212.20,0.00,Economatica associado,"",Schulz (30.20%),"","","",
1293,"",Lorentzen Empreendimentos S.A.,Lorentzen Empreendimentos S.A.,'',-,-,212.18,212.18,0.00,Economatica associado,"",Ideiasnet (15.30%),"","","",
1294,"",Eugenio Pacelli Mattar,Eugenio Pacelli Mattar,'',-,-,212.17,212.17,0.00,Economatica associado,"",Localiza (7.27%),"","","",
1295,"",Flavio Brandao Resende,Flavio Brandao Resende,'',-,-,211.64,211.64,0.00,Economatica associado,"",Localiza (7.25%),"","","",
1296,"",CSHG Verde Master FI Mult,CSHG Verde Master FI Mult,'',-,-,210.89,210.89,0.00,Economatica associado,"",Randon Part (5.07%),"","","",
1297,"",Leblon Equities Gestao de Recursos Ltda.,Leblon Equities Gestao de Recursos Ltda.,'',-,-,210.81,210.81,0.00,Economatica associado,"",Springs (14.97%),"","","",
1298,"",Metisa,,'86375425000109',-,209.96,-,209.96,0.00,Economatica,"","","","","Flavio Snell (36.73%)
D' Angelo Participacoes Ltda (24.55%)
Partbank S/A (23.74%)
Edvaldo Angelo (9.62%)",
1299,"",Rm Futura Participacoes S/A,Rm Futura Participacoes S/A,'',-,-,207.86,207.86,0.00,Economatica associado,"",Natura (3.72%),"","","",
1300,sim,SPturis,,'62002886000160',-,207.57,-,207.57,0.00,Economatica,"","","","","Pmsp Prefeitura Mun Sao Paulo (88.90%)
Acoes em Tesouraria (0.12%)",
1300,"",Pmsp Prefeitura Mun Sao Paulo,Pmsp Prefeitura Mun Sao Paulo,'',-,-,207.57,207.57,0.00,Economatica associado,SPturis (88.90%),"","","","",
1301,"",Ebx Investimentos Ltda,Ebx Investimentos Ltda,'',-,-,207.26,207.26,0.00,Economatica associado,"",Ideiasnet (14.94%),"","","",
1302,"",Cr2,Cr2,'07820907000146',-,195.62,9.59,205.20,0.00,Economatica,"",Tecnosolo (9.35%),"","","Itau-Unibanco S.A. (19.64%)
Carlos Antonio Guedes Valente (16.29%)
Squadra Investimentos - Gestao de Recursos Ltda (14.63%)
Claudio Coutinho Mendes (10.52%)
The Bank Of New York - Adr (8.77%)
Rogerio Furtado Moreira (6.09%)
Marco Paulo de Alvarenga Costa (5.39%)",
1303,"",Janus Capital Management Llc,Janus Capital Management Llc,'',-,-,204.85,204.85,0.00,Economatica associado,"",Mrv (5.10%),"","","",
1304,"",FIP Genoa,FIP Genoa,'',-,-,200.95,200.95,0.00,Economatica associado,"",Even (10.53%),"","","",
1305,"",Passport,Passport,'',-,-,197.52,197.52,0.00,Economatica associado,"",Tarpon Inv (7.40%),"","Tarpon Inv => {Cremer (43.04%, final=3.18%), Direcional (15.12%, final=1.12%), BRF Foods => {Sadia S/A. (10.27%, final=0.06%)}}","",
1306,"",BNY Mellon ARX Investimentos Ltda,BNY Mellon ARX Investimentos Ltda,'',-,-,196.38,196.38,0.00,Economatica associado,"","Sierrabrasil (5.47%)
Aliansce (5.01%)
Copasa (4.87%)
Santos Brp (1.31%)","","","",
1307,"",Par Al Bahia,,'01938783000111',-,196.14,-,196.14,0.00,Economatica,"","","","","Paulo Sergio F. de Carvalho G. T. (31.60%)
Fundacao Maria Emilia F. de Carvalh (16.77%)
Jose Maria Souza T. Costa (5.19%)
Adrecor Adm. Repres. Corr. Ltda (0.07%)",
1308,"",Baillie Gifford - Administrador,Baillie Gifford - Administrador,'',-,-,195.57,195.57,0.00,Economatica associado,"",All Amer Lat (6.16%),"","","",
1309,"",Funcef-Fundacao Economiarios Federais,Funcef-Fundacao Economiarios Federais,'',-,-,195.32,195.32,0.00,Economatica associado,"","Desenvix (20.08%)
All Amer Lat (4.18%)
Oi (0.09%)","","Oi => {Telemar N L (100.00%, final=0.09%)}","",
1310,"",Dimas de Camargo Maia Filho,Dimas de Camargo Maia Filho,'',-,-,194.73,194.73,0.00,Economatica associado,"",Tempo Part (18.88%),"","","",
1311,"",Tereos do Brasil Participacoes Ltda,Tereos do Brasil Participacoes Ltda,'',-,-,190.04,190.04,0.00,Economatica associado,"","Guarani (10.69%)
Tereos (3.75%)","","","",
1312,"",Part Ind Maria C Borenstein Via A Contr Helio Borenstein SA,Part Ind Maria C Borenstein Via A Contr Helio Borenstein SA,'',-,-,189.96,189.96,0.00,Economatica associado,"",Helbor (16.12%),"","","",
1313,"",Yukon FIA,Yukon FIA,'',-,-,189.39,189.39,0.00,Economatica associado,"",Joao Fortes (29.37%),"","","",
1314,"",Znt Emp. Com. e Particip. Ltda,Znt Emp. Com. e Particip. Ltda,'',-,-,189.37,189.37,0.00,Economatica associado,"",Odontoprev (22.67%),"","","",
1315,"",Perimeter FIA,Perimeter FIA,'',-,-,188.61,188.61,0.00,Economatica associado,"",Pet Manguinh (8.01%),"","","",
1316,"",BTG Pactual Principal Investments FIP,BTG Pactual Principal Investments FIP,'',-,-,188.12,188.12,0.00,Economatica associado,"",BR Pharma (18.80%),"","","",
1317,sim,Azevedo,,'61351532000168',-,187.67,-,187.67,0.00,Economatica,"","","","","Helber S/A Part e Adm (62.81%)
Bonsucex Holding Ltda (21.61%)
Luiz Teotonio Pimentel Mendes (5.24%)
Imobel SA Urb e Constr (0.28%)",
1317,"",Helber S/A Part e Adm,Helber S/A Part e Adm,'',-,-,187.67,187.67,0.00,Economatica associado,Azevedo (62.81%),"","","","",
1318,"",BHG,,'08723106000125',-,186.93,-,186.93,0.00,Economatica,"","","","","Latin America Hotels Llc (46.05%)
John Hancock Global Opportunities Fund - Citibank Dtvm S.A. (6.33%)
Espirito Santo Tourism S.A. (5.65%)
Acoes em Tesouraria (1.91%)
Gpcp4 FIP (1.04%)",
1319,"",Marcelo Henrique Limirio Goncalves,Marcelo Henrique Limirio Goncalves,'',-,-,184.24,184.24,0.00,Economatica associado,"",Hypermarcas (5.54%),"","","",
1320,"",FIP Votorantim Agem,FIP Votorantim Agem,'',-,-,183.68,183.68,0.00,Economatica associado,"",Hypermarcas (5.52%),"","","",
1321,"",Bonsucex Holding Ltda,Bonsucex Holding Ltda,'',-,-,182.78,182.78,0.00,Economatica associado,"","Azevedo (21.61%)
V-Agro (5.38%)
Alpargatas (3.68%)","","","",
1322,"",Geracao Futuro Corretora de Valores S/A,Geracao Futuro Corretora de Valores S/A,'',-,-,182.33,182.33,0.00,Economatica associado,"","Forjas Taurus (7.68%)
Celesc (3.22%)","","","",
1323,"",Minupar,,'90076886000140',-,181.85,-,181.85,0.00,Economatica,"","","","","Ssj Participacoes e Representacoes (10.48%)
Francisco Asclepio Barroso Aguiar (5.25%)
Serra do Roncador Participacoes Ltda. (4.44%)
Jose Oswaldo Morales Junior (3.82%)
Paulo Vicente Sperb (3.65%)
Chao En Ming (3.46%)
Sergio Roberto Jaeschke (1.28%)",
1324,"",Mfs Investment Management,Mfs Investment Management,'',-,-,180.71,180.71,0.00,Economatica associado,"","BR Brokers (10.10%)
BR Insurance (5.16%)
Lopes Brasil (5.15%)
Sada (5.03%)","","","",
1325,"",Julia Dora Antonia Koranyi Arduini,Julia Dora Antonia Koranyi Arduini,'',-,-,179.84,179.84,0.00,Economatica associado,"",All Amer Lat (5.67%),"","","",
1326,"",Northstar Equity Inv Llc,Northstar Equity Inv Llc,'',-,-,177.09,177.09,0.00,Economatica associado,"",Le Lis Blanc (37.59%),"","","",
1327,"",Mitsubishi Corporation do Brasil S.A.,Mitsubishi Corporation do Brasil S.A.,'',-,-,176.36,176.36,0.00,Economatica associado,"",Usiminas (1.48%),"","Usiminas => {Cosipa (94.57%, final=1.40%)}","",
1328,"",Instituto Aerus de Seguridade Socia,Instituto Aerus de Seguridade Socia,'',-,-,176.22,176.22,0.00,Economatica associado,"",Tupy (8.06%),"","","",
1329,"",L2 Participacoes FIP,L2 Participacoes FIP,'',-,-,175.62,175.62,0.00,Economatica associado,"",Qualicorp (25.98%),"","","",
1330,"",Marcio Luiz Goldfarb,Marcio Luiz Goldfarb,'',-,-,175.33,175.33,0.00,Economatica associado,"",Lojas Marisa (7.16%),"","","",
1331,"",Werner S/A Agricultura e Comercio,Werner S/A Agricultura e Comercio,'',-,-,172.19,172.19,0.00,Economatica associado,Aco Altona (84.25%),"","","","",
1332,sim,Aco Altona,,'82643537000134',-,172.19,-,172.19,0.00,Economatica,"","","","","Werner S/A Agricultura e Comercio (84.25%)
Espolio Bernardo Wolfgang Werner (8.86%)
Carmen Vetter Werner (2.41%)",
1332,"",Truetech Participacoes Ltda,Truetech Participacoes Ltda,'',-,-,171.82,171.82,0.00,Economatica associado,"",Ideiasnet (12.39%),"","","",
1333,"",Eton Park Fund LP/Ep Tisdale Llc,Eton Park Fund LP/Ep Tisdale Llc,'',-,-,171.19,171.19,0.00,Economatica associado,"",Tarpon Inv (6.41%),"","Tarpon Inv => {Cremer (43.04%, final=2.76%), Direcional (15.12%, final=0.97%), BRF Foods => {Sadia S/A. (10.27%, final=0.05%)}}","",
1334,"",Olavo Egydio Setubal Júnior,Olavo Egydio Setubal Júnior,'',-,-,170.47,170.47,0.00,Economatica associado,"",Itausa (3.35%),"","","",
1335,"",Wisco Brasil Investimentos em Metalurgia Ltda,Wisco Brasil Investimentos em Metalurgia Ltda,'',-,-,170.09,170.09,0.00,Economatica associado,"",MMX Miner (16.42%),"","","",
1336,"","Taef Fund, Llc","Taef Fund, Llc",'',-,-,169.86,169.86,0.00,Economatica associado,"",Lojas Marisa (6.93%),"","","",
1337,"",Roberto Egydio Setubal,Roberto Egydio Setubal,'',-,-,169.81,169.81,0.00,Economatica associado,"",Itausa (3.33%),"","","",
1338,"",Alfredo Egydio Setubal,Alfredo Egydio Setubal,'',-,-,169.04,169.04,0.00,Economatica associado,"",Itausa (3.32%),"","","",
1339,"",Ricardo Egydio Setubal,Ricardo Egydio Setubal,'',-,-,168.96,168.96,0.00,Economatica associado,"",Itausa (3.32%),"","","",
1340,"",Fernando Luiz Alterio,Fernando Luiz Alterio,'',-,-,168.60,168.60,0.00,Economatica associado,"",Time For Fun (27.65%),"","","",
1341,sim,MPX Energia,,'04423567000121',-,168.28,-,168.28,0.00,Economatica,"","","","","Eike Fuhrken Batista (50.14%)
Dd Brazil Holdings S.A.R.L (11.74%)
Bndespar - BNDES Participacoes SA (10.35%)
Centennial Ass Mining Fundo Llc (3.49%)
Centennial Asset Brazilian Equity Fund Llc - Itau Unibanco S/A (0.32%)",
1341,"",Itacatu S/A,Itacatu S/A,'',-,-,168.25,168.25,0.00,Economatica associado,"",Energisa (5.90%),"","Energisa => {F Cataguazes (100.00%, final=5.90%)}","",
1342,"",Multi Sts Participacoes S/A,Multi Sts Participacoes S/A,'',-,-,167.61,167.61,0.00,Economatica associado,"",Santos Brp (14.90%),"","","",
1343,sim,Banco BTG Pactual,Banco BTG Pactual,'30306294000145',-,-,167.17,167.17,0.00,Economatica,Panamericano (51.00%),BR Properties (48.67%),"","","BTG Pactual Holding S.A. (83.70%)
Beryl County Llp (1.82%)
Pacific Mezz Investco S.A.R.L. (1.82%)
Ontario Teachers Pension Plan Board (1.21%)
Europa Lux III S.A.R.L (1.19%)
Hanover Investments (Luxembourg) S.A. (0.91%)
Andre Santos Esteves (0.64%)
Sierra Nevada Investments Llc (0.48%)
Marais Llc (0.21%)
Rendefeld S.A. (0.11%)",
1343,"",BTG Pactual Holding S.A.,BTG Pactual Holding S.A.,'',-,-,167.17,167.17,0.00,Economatica associado,Banco BTG Pactual (83.70%),"",Panamericano (controlada por Banco BTG Pactual),"Banco BTG Pactual => {Panamericano (51.00%, final=42.69%), BR Properties (48.67%, final=40.74%)}","",
1344,"",Tarpon Participacoes Ltda,Tarpon Participacoes Ltda,'',-,-,166.99,166.99,0.00,Economatica associado,"",Tempo Part (16.19%),"","","",
1345,"",Rearden L Holdings 3 S.A R.L,Rearden L Holdings 3 S.A R.L,'',-,-,166.94,166.94,0.00,Economatica associado,"",Magnesita (7.20%),"","","",
1346,"",Brasilagro,,'07628528000159',-,165.23,-,165.23,0.00,Economatica,"","","","","Cresud S.A.C.I.F Y A (25.44%)
JP Morgan Whitefriars Inc - Banco Itau S.A (10.76%)
Helmir S.A. (10.31%)
Cape Town Llc (4.52%)
Elie Horn (1.09%)",
1347,sim,Emae,,'02302101000142',-,164.09,-,164.09,0.00,Economatica,"","","","",Governo do Estado de Sao Paulo (97.62%),
1347,"",1700480 Ontario Inc.,1700480 Ontario Inc.,'',-,-,163.90,163.90,0.00,Economatica associado,"",Multiplan (24.24%),"","","",
1348,"",Julio Ricardo Andrighetto Mottin,Julio Ricardo Andrighetto Mottin,'',-,-,163.41,163.41,0.00,Economatica associado,"",Dimed (12.14%),"","","",
1349,"",Whirlpool Ind e Com Ltda,Whirlpool Ind e Com Ltda,'',-,-,162.40,162.40,0.00,Economatica associado,"",Brasmotor (4.92%),"","Brasmotor => {Whirlpool (44.23%, final=2.18%)}","",
1350,"",HSBC Bank Brasil SA,HSBC Bank Brasil SA,'',-,-,162.34,162.34,0.00,Economatica associado,"",Iochp-Maxion (5.59%),"","","",
1351,"",Sultepa Participacoes Ltda,Sultepa Participacoes Ltda,'',-,-,161.46,161.46,0.00,Economatica associado,Sultepa (60.84%),"","","","",
1352,sim,Sultepa,,'89723993000133',-,161.46,-,161.46,0.00,Economatica,"","","","","Sultepa Participacoes Ltda (60.84%)
Portella Nunes Participacoes SA (26.99%)
Investnorte Cvmc Ltda (1.59%)
Luiz Sergio Graca de Araujo (0.01%)",
1352,"",Isi Participacoes Ltda,Isi Participacoes Ltda,'',-,-,161.33,161.33,0.00,Economatica associado,"",Iochp-Maxion (5.55%),"","","",
1353,"",Bonaire Participacoes S/A,Bonaire Participacoes S/A,'',-,-,160.61,160.61,0.00,Economatica associado,"",CPFL Energia (0.66%),"","CPFL Energia => {CPFL Piratininga (100.00%, final=0.66%), CPFL Geracao (100.00%, final=0.66%), Paul F Luz (100.00%, final=0.66%), Rio Gde Ener (100.00%, final=0.66%)}","",
1354,"",Bem Dtvm Ltda. - Administrador,Bem Dtvm Ltda. - Administrador,'',-,-,160.21,160.21,0.00,Economatica associado,"",All Amer Lat (5.05%),"","","",
1355,"",Bhcs Fundo de Investimentos em Participacoes,Bhcs Fundo de Investimentos em Participacoes,'',-,-,160.18,160.18,0.00,Economatica associado,"",Qualicorp (23.69%),"","","",
1356,"",River Charles Netherlands Ltd,River Charles Netherlands Ltd,'',-,-,159.79,159.79,0.00,Economatica associado,"",CSU Cardsystem (40.19%),"","","",
1357,"",AG Invest FIP,AG Invest FIP,'',-,-,159.78,159.78,0.00,Economatica associado,"",AGconcessoes (13.85%),"","","",
1358,"",Denise Goldfarb Terpins,Denise Goldfarb Terpins,'',-,-,158.98,158.98,0.00,Economatica associado,"",Lojas Marisa (6.49%),"","","",
1359,"",Gmi - Global Markets Investments Limited Partnership,Gmi - Global Markets Investments Limited Partnership,'',-,-,158.44,158.44,0.00,Economatica associado,"",All Amer Lat (4.99%),"","","",
1360,sim,Rimet,,'29388352000148',-,155.37,-,155.37,0.00,Economatica,"","","","",Cia Brasileira de Latas (99.98%),
1360,"",Cia Brasileira de Latas,Cia Brasileira de Latas,'',-,-,155.37,155.37,0.00,Economatica associado,Rimet (99.98%),"","","","",
1361,"",Tantra Participacoes Ltda,Tantra Participacoes Ltda,'',-,-,153.94,153.94,0.00,Economatica associado,"",RaiaDrogasil (5.64%),"","","",
1362,"",BRZ All FI em Participacoes,BRZ All FI em Participacoes,'',-,-,153.45,153.45,0.00,Economatica associado,"",All Amer Lat (4.84%),"","","",
1363,"",Bayside Ventures Limited,Bayside Ventures Limited,'',-,-,150.63,150.63,0.00,Economatica associado,"",Cacique (26.77%),"","","",
1364,"",Econorte Emp Cons Nor de Minas Ltda,Econorte Emp Cons Nor de Minas Ltda,'',-,-,149.77,149.77,0.00,Economatica associado,"","Encorpar (17.93%)
Coteminas (8.58%)","","","",
1365,"",Marcelo Goldfarb,Marcelo Goldfarb,'',-,-,149.57,149.57,0.00,Economatica associado,"",Lojas Marisa (6.10%),"","","",
1366,"",Flavia Goldfarb Papa,Flavia Goldfarb Papa,'',-,-,149.57,149.57,0.00,Economatica associado,"",Lojas Marisa (6.10%),"","","",
1367,"",Roberta Goldfarb Philippsen,Roberta Goldfarb Philippsen,'',-,-,149.57,149.57,0.00,Economatica associado,"",Lojas Marisa (6.10%),"","","",
1368,"",Jose Carlos Reis M. Neto,Jose Carlos Reis M. Neto,'',-,-,148.95,148.95,0.00,Economatica associado,"",Tarpon Inv (5.58%),"","Tarpon Inv => {Cremer (43.04%, final=2.40%), Direcional (15.12%, final=0.84%), BRF Foods => {Sadia S/A. (10.27%, final=0.05%)}}","",
1369,"",Luis Fernando Costa Estima,Luis Fernando Costa Estima,'',-,-,148.91,148.91,0.00,Economatica associado,"",Forjas Taurus (24.10%),"","","",
1370,"",Nacht Participacoes SA,Nacht Participacoes SA,'',-,-,147.87,147.87,0.00,Economatica associado,"",Mills (21.82%),"","","",
1371,"",Rodrigo Terpins,Rodrigo Terpins,'',-,-,147.83,147.83,0.00,Economatica associado,"",Lojas Marisa (6.03%),"","","",
1372,"",Michel Terpins,Michel Terpins,'',-,-,147.83,147.83,0.00,Economatica associado,"",Lojas Marisa (6.03%),"","","",
1373,"",Ticiana Terpins Strozenberg,Ticiana Terpins Strozenberg,'',-,-,147.11,147.11,0.00,Economatica associado,"",Lojas Marisa (6.00%),"","","",
1374,"",Luiz Barsi Filho,Luiz Barsi Filho,'',-,-,146.53,146.53,0.00,Economatica associado,"","Eternit (13.48%)
Unipar (10.41%)
Rasip Agro (0.02%)","","","",
1375,"",Regimar Comercial S/A,Regimar Comercial S/A,'',-,-,146.30,146.30,0.00,Economatica associado,"",RaiaDrogasil (5.36%),"","","",
1376,"",BR Insurance,,'11721921000160',-,145.38,-,145.38,0.00,Economatica,"","","","","Verona Bib Brokers Participacoes S.A. (6.96%)
Fundo Gulf II de Investimento em Participacoes (5.60%)
The Boston Company Asset Management Llc (5.43%)
Government Of Singapore Investment Corporation Pte Ltd (5.28%)
Fmr Llc(Fidelity) (5.24%)
Mfs Investment Management (5.16%)
Acoes em Tesouraria (4.36%)
Bcvi Fundo de Investimento em Participacoes (2.36%)
Roberto Ali Abdalla (2.35%)
Marcelo de Andrade Casado (2.07%)",
1377,"",Tekno,,'33467572000134',-,144.99,-,144.99,0.00,Economatica,"","","","","Estela Madeira do Val (26.78%)
Eloisa Madeira Szanto (26.77%)
Carlos Alberto de Almeida Borges (22.05%)
Joao Alberto de Almeida Borges (20.92%)",
1378,sim,OSX Brasil,,'09112685000132',-,144.23,-,144.23,0.00,Economatica,"","","","","Centennial Ass Mining Fundo Llc (60.60%)
Eike Fuhrken Batista (17.21%)",
1378,"",Desenvix,,'00622416000141',-,143.40,-,143.40,0.00,Economatica,"","","","","Sn Power (43.68%)
Caixa FIP Cevix (43.68%)
Funcef-Fundacao Economiarios Federais (20.08%)",
1379,"",Joao Stramosk,Joao Stramosk,'',-,-,143.15,143.15,0.00,Economatica associado,Riosulense (90.00%),"","","","",
1380,sim,Riosulense,,'85778074000106',-,143.15,-,143.15,0.00,Economatica,"","","","","Joao Stramosk (90.00%)
Eugenio Cesar Stramosk (2.00%)
Jose Eduardo Stramosk (2.00%)
Carlos Henrique Stramosk (2.00%)
Joao Stramosk Filho (2.00%)
Luis Antonio Stramosk (2.00%)",
1380,"",Sk Networks Co Ltda,Sk Networks Co Ltda,'',-,-,142.86,142.86,0.00,Economatica associado,"",MMX Miner (13.79%),"","","",
1381,sim,Tex Renaux,,'82982075000180',-,142.18,-,142.18,0.00,Economatica,"","","","",D & D Administradora de Bens Ltda (60.69%),
1381,"",D & D Administradora de Bens Ltda,D & D Administradora de Bens Ltda,'',-,-,142.18,142.18,0.00,Economatica associado,Tex Renaux (60.69%),"","","","",
1382,"",Gfv Holding SA,Gfv Holding SA,'',-,-,141.31,141.31,0.00,Economatica associado,"",Marisol (32.76%),"","","",
1383,"",Rosediamond Llp,Rosediamond Llp,'',-,-,140.10,140.10,0.00,Economatica associado,"",Lopes Brasil (32.40%),"","","",
1384,"",Invespar Investimentos e Participacoes Ltda.,Invespar Investimentos e Participacoes Ltda.,'',-,-,139.02,139.02,0.00,Economatica associado,"",Forjas Taurus (22.50%),"","","",
1385,"",Mdc Assessoria Empresarial S.A.,Mdc Assessoria Empresarial S.A.,'',-,-,138.83,138.83,0.00,Economatica associado,"",Inepar (6.72%),"","Inepar => {Ienergia (60.00%, final=4.03%), Cemat (26.32%, final=1.77%)}","",
1386,"",Antonio Carlos Pipponzi,Antonio Carlos Pipponzi,'',-,-,138.50,138.50,0.00,Economatica associado,"",RaiaDrogasil (5.07%),"","","",
1387,sim,Generalshopp,,'08764621000153',-,137.34,-,137.34,0.00,Economatica,"","","","","Golf Participacoes Ltda (59.41%)
Banco Fator S.A. (10.02%)
Pollux Capital Administradora de Recursos Ltda (5.32%)",
1387,"",Golf Participacoes Ltda,Golf Participacoes Ltda,'',-,-,137.34,137.34,0.00,Economatica associado,Generalshopp (59.41%),"","","","",
1388,"",Helio Seibel,Helio Seibel,'',-,-,136.30,136.30,0.00,Economatica associado,"","V-Agro (13.72%)
Duratex (0.51%)","","","",
1389,"",Fips Geridos Pela BTG Pactual Wm Gestao de Recursos Ltda. - Vide Item 15.7,Fips Geridos Pela BTG Pactual Wm Gestao de Recursos Ltda. - Vide Item 15.7,'',-,-,135.89,135.89,0.00,Economatica associado,"",BR Pharma (13.58%),"","","",
1390,"",Advent Educacao Basica Participacoes S.A,Advent Educacao Basica Participacoes S.A,'',-,-,133.16,133.16,0.00,Economatica associado,"",Kroton (18.13%),"","","",
1391,"",Ivoncy Brochmann Ioschpe,Ivoncy Brochmann Ioschpe,'',-,-,131.70,131.70,0.00,Economatica associado,"",Iochp-Maxion (4.53%),"","","",
1392,"",Polo Capital Gestao de Recursos Ltda,Polo Capital Gestao de Recursos Ltda,'',-,-,130.90,130.90,0.00,Economatica associado,"","Viver (11.64%)
CSU Cardsystem (11.62%)","","","",
1393,"",Hoteis Othon,,'33200049000147',-,130.29,-,130.29,0.00,Economatica,"","","","","Othon L. Bezerra de Mello Com. Imp. (36.98%)
Othon Administracao S/A (5.95%)",
1394,"",Rezende Barbosa SA Adm e Part,Rezende Barbosa SA Adm e Part,'',-,-,129.87,129.87,0.00,Economatica associado,"",Cosan (0.71%),"","","",
1395,"",Brasil Terminais S/A,Brasil Terminais S/A,'',-,-,129.35,129.35,0.00,Economatica associado,"",Santos Brp (11.50%),"","","",
1396,"",Doriane Braatz,Doriane Braatz,'',-,-,128.55,128.55,0.00,Economatica associado,"",Schulz (18.29%),"","","",
1397,"",Opus Gestao de Recursos,Opus Gestao de Recursos,'',-,-,127.33,127.33,0.00,Economatica associado,"",Ideiasnet (9.18%),"","","",
1398,"",Delta Fm&B FIP,Delta Fm&B FIP,'',-,-,126.70,126.70,0.00,Economatica associado,"",Fleury (11.25%),"","","",
1399,"",Government Of Singapore Investment Corporation Pte Ltd,Government Of Singapore Investment Corporation Pte Ltd,'',-,-,125.86,125.86,0.00,Economatica associado,"","BR Properties (7.62%)
Direcional (7.07%)
Aliansce (6.37%)
BR Insurance (5.28%)","","","",
1400,"",Ovandi Rosenstock,Ovandi Rosenstock,'',-,-,125.79,125.79,0.00,Economatica associado,"",Schulz (17.90%),"","","",
1401,"",Mcap Poland Fundo de Investimento em Acoes,Mcap Poland Fundo de Investimento em Acoes,'',-,-,125.24,125.24,0.00,Economatica associado,"","Cremer (10.93%)
Alfa Invest (3.27%)
Iguacu Cafe (2.56%)
Alfa Financ (1.78%)
Comgas (1.14%)","","","",
1402,"",Melhor SP,,'60730348000166',-,124.31,-,124.31,0.00,Economatica,"","","","","Hdw Agro Pecuaria e Particip. Ltda (19.47%)
Indojucar Participacoes Ltda (16.79%)
Brupan Participacoes Ltda (13.41%)
Waladi Participacoes Ltda (11.69%)
Patima Participacoes Ltda (10.98%)
Incopar Participacoes Ltda (10.77%)
Ana Maria de Moraes Velloso (8.68%)
Uger Participacoes Ltda (2.06%)
Trife Participacoes Ltda (0.01%)",
1403,"",Juvenil Antonio Zietolie,Juvenil Antonio Zietolie,'',-,-,123.81,123.81,0.00,Economatica associado,"",Unicasa (42.02%),"","","",
1404,sim,Sauipe,,'00866577000180',-,122.91,-,122.91,0.00,Economatica,"","","","","Previ Cx Prev Funcs Bco Brasil (93.94%)
Fundo Mutuo Inv. Acoes BB Cart. Livre I (0.00%)",
1404,"",Fibam,,'61410395000195',-,122.80,-,122.80,0.00,Economatica,"","","","","Renata Ricci Paperini (43.40%)
Ricardo Athos Paperini (27.16%)
Paolo Paperini (27.14%)",
